id,month,region,main_category,sub_category,product_line,price_tier,units_sold,revenue_usd,online_sales_percentage,retail_price
1,November,India,Equipment,Bags,Gym Sack,Budget,48356,14506800,73,300
2,January,India,Equipment,Accessories,Hats,Budget,9842,2066820,50,210
3,October,India,Apparel,Tops,Tech Fleece,Mid-Range,25079,1755530,90,70
4,December,Greater China,Footwear,Cricket,Vapor Cricket,Premium,41404,8694840,58,210
5,May,Greater China,Equipment,Socks,Performance Socks,Premium,33569,5371040,53,160
6,October,Japan,Apparel,Performance,Dri-FIT,Premium,39344,5508160,73,140
7,December,Japan,Footwear,Cricket,Vapor Cricket,Budget,30197,6945310,50,230
8,July,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,42814,6422100,55,150
9,April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,16489,2473350,78,150
10,February,Europe,Footwear,Cricket,Vapor Cricket,Mid-Range,43626,10033980,86,230
11,September,Greater China,Equipment,Accessories,Bags,Mid-Range,41006,5330780,75,130
12,June,South Korea,Equipment,Socks,Performance Socks,Premium,41901,12570300,63,300
13,May,America,Equipment,Socks,Crew Socks,Mid-Range,18843,4522320,59,240
14,November,India,Equipment,Bags,Backpack,Budget,35160,7032000,86,200
15,December,Greater China,Equipment,Socks,Performance Socks,Mid-Range,33581,6716200,73,200
16,June,America,Apparel,Tops,Tech Fleece,Mid-Range,41641,8744610,61,210
17,April,America,Apparel,Outerwear,Rain Jacket,Premium,39934,7986800,83,200
18,March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,48973,8815140,81,180
19,July,India,Equipment,Accessories,Bags,Budget,46622,10723060,62,230
20,August,Greater China,Footwear,Running,React Infinity,Budget,30262,4539300,51,150
21,March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10853,2279130,74,210
22,October,America,Equipment,Socks,Crew Socks,Premium,33059,4297670,59,130
23,July,America,Apparel,Outerwear,Windrunner,Mid-Range,16670,4834300,81,290
24,August,Europe,Apparel,Tops,Therma-FIT,Budget,44274,7969320,82,180
25,July,Greater China,Apparel,Performance,Dri-FIT,Premium,47805,2390250,52,50
26,August,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,48747,12186750,77,250
27,July,India,Equipment,Bags,Gym Sack,Mid-Range,8478,423900,57,50
28,March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,42986,9027060,53,210
29,December,America,Apparel,Performance,Dri-FIT,Budget,41744,8348800,65,200
30,January,America,Apparel,Performance,Dri-FIT,Budget,39919,10378940,52,260
31,September,Japan,Footwear,Basketball,Air Jordan,Budget,46314,10652220,55,230
32,June,South Korea,Equipment,Socks,Performance Socks,Budget,16396,3935040,50,240
33,November,Europe,Apparel,Performance,Compression Wear,Budget,44734,10736160,75,240
34,September,Europe,Equipment,Accessories,Hats,Premium,33895,8473750,74,250
35,October,Japan,Equipment,Bags,Backpack,Premium,31834,7003480,71,220
36,August,India,Apparel,Tops,Therma-FIT,Premium,29827,1491350,79,50
37,April,Southeast Asia,Equipment,Bags,Gym Sack,Premium,48873,10752060,80,220
38,October,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,23473,4459870,74,190
39,June,Southeast Asia,Equipment,Socks,Performance Socks,Premium,18279,1096740,83,60
40,September,America,Apparel,Outerwear,Windrunner,Budget,33577,8730020,56,260
41,February,South Korea,Apparel,Performance,Compression Wear,Mid-Range,40762,4076200,57,100
42,October,Japan,Footwear,Running,Air Zoom,Budget,24432,2687520,54,110
43,August,India,Footwear,Football,Mercurial,Budget,10546,2636500,55,250
44,September,Southeast Asia,Equipment,Socks,Crew Socks,Budget,7956,1113840,56,140
45,January,South Korea,Apparel,Performance,Compression Wear,Premium,10277,1233240,70,120
46,September,America,Footwear,Running,Air Zoom,Premium,26396,6862960,50,260
47,October,America,Footwear,Lifestyle,Air Max,Premium,43122,7330740,76,170
48,April,Southeast Asia,Footwear,Basketball,KD Series,Premium,44636,5802680,81,130
49,December,India,Footwear,Football,Mercurial,Mid-Range,48740,5848800,83,120
50,December,Greater China,Apparel,Tops,Tech Fleece,Premium,38854,4662480,86,120
51,January,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,35377,4952780,90,140
52,March,India,Apparel,Outerwear,Windrunner,Budget,23608,6846320,69,290
53,July,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,19958,3792020,78,190
54,February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,46508,5580960,61,120
55,November,Greater China,Equipment,Accessories,Bags,Mid-Range,42942,6441300,60,150
56,May,Europe,Apparel,Performance,Compression Wear,Budget,41525,11627000,51,280
57,January,Southeast Asia,Footwear,Football,Mercurial,Budget,35468,4610840,72,130
58,November,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,10473,2513520,65,240
59,October,South Korea,Footwear,Cricket,Vapor Cricket,Budget,36845,4421400,72,120
60,July,South Korea,Footwear,Football,Phantom Vision,Budget,19956,3791640,60,190
61,April,South Korea,Equipment,Accessories,Bags,Premium,28886,6354920,54,220
62,June,Japan,Equipment,Accessories,Bags,Premium,21063,5476380,89,260
63,October,Japan,Apparel,Performance,Dri-FIT,Premium,29308,4396200,77,150
64,September,Southeast Asia,Equipment,Bags,Gym Sack,Budget,27448,3568240,51,130
65,January,South Korea,Equipment,Bags,Backpack,Mid-Range,43996,7039360,81,160
66,March,India,Apparel,Performance,Compression Wear,Budget,12796,1663480,85,130
67,July,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,20670,3513900,89,170
68,April,Japan,Equipment,Accessories,Bags,Budget,14434,4330200,77,300
69,March,America,Footwear,Lifestyle,Air Max,Premium,37917,7204230,86,190
70,April,America,Apparel,Tops,Therma-FIT,Premium,31268,2814120,61,90
71,November,Greater China,Apparel,Outerwear,Rain Jacket,Premium,27420,7403400,50,270
72,February,South Korea,Equipment,Bags,Backpack,Budget,49926,3494820,74,70
73,November,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,38355,4219050,74,110
74,August,South Korea,Footwear,Basketball,KD Series,Budget,35303,7413630,81,210
75,January,South Korea,Footwear,Basketball,KD Series,Budget,9847,2067870,72,210
76,June,Europe,Apparel,Tops,Tech Fleece,Premium,21735,3042900,77,140
77,December,America,Footwear,Cricket,Vapor Cricket,Premium,45961,6434540,58,140
78,May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,18692,3364560,83,180
79,October,Greater China,Apparel,Outerwear,Windrunner,Premium,46766,9820860,60,210
80,March,Japan,Footwear,Lifestyle,Blazer,Mid-Range,6244,874160,86,140
81,February,India,Equipment,Socks,Performance Socks,Premium,30045,7210800,73,240
82,November,Japan,Footwear,Cricket,Vapor Cricket,Budget,29193,5838600,89,200
83,January,Greater China,Equipment,Bags,Gym Sack,Budget,17746,2839360,78,160
84,July,Japan,Apparel,Performance,Dri-FIT,Mid-Range,15402,4312560,85,280
85,February,America,Equipment,Socks,Crew Socks,Mid-Range,18455,3321900,87,180
86,February,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,24769,6439940,52,260
87,February,South Korea,Apparel,Tops,Therma-FIT,Budget,5936,1009120,73,170
88,July,South Korea,Equipment,Bags,Backpack,Budget,23385,6781650,57,290
89,April,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,46124,5073640,76,110
90,August,South Korea,Equipment,Accessories,Hats,Premium,10225,2760750,88,270
91,January,Southeast Asia,Equipment,Bags,Backpack,Budget,26666,3199920,85,120
92,October,India,Apparel,Outerwear,Rain Jacket,Mid-Range,42110,3789900,78,90
93,August,Europe,Equipment,Accessories,Bags,Premium,21473,2147300,81,100
94,November,Japan,Equipment,Bags,Gym Sack,Premium,34384,8939840,87,260
95,October,America,Equipment,Accessories,Hats,Premium,43980,9235800,52,210
96,November,America,Apparel,Performance,Dri-FIT,Premium,28721,8329090,61,290
97,February,Greater China,Footwear,Running,Air Zoom,Mid-Range,37079,8528170,68,230
98,April,South Korea,Equipment,Accessories,Bags,Premium,45351,7256160,75,160
99,February,India,Equipment,Socks,Crew Socks,Premium,22676,1814080,62,80
100,April,Europe,Apparel,Outerwear,Rain Jacket,Budget,13858,2217280,81,160
101,January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,40440,11727600,70,290
102,December,India,Apparel,Outerwear,Rain Jacket,Budget,46682,12604140,62,270
103,June,Greater China,Footwear,Running,Pegasus,Premium,33156,8289000,73,250
104,January,America,Footwear,Football,Mercurial,Budget,40417,5658380,73,140
105,February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,9747,2924100,55,300
106,March,Japan,Apparel,Outerwear,Rain Jacket,Premium,24860,4723400,63,190
107,September,South Korea,Footwear,Running,React Infinity,Premium,16375,1637500,71,100
108,August,Japan,Footwear,Football,Mercurial,Budget,39856,5181280,90,130
109,February,Europe,Equipment,Socks,Performance Socks,Mid-Range,6899,1172830,75,170
110,October,Europe,Equipment,Socks,Performance Socks,Budget,49804,12949040,77,260
111,May,Greater China,Equipment,Socks,Performance Socks,Premium,13232,1852480,53,140
112,January,Europe,Equipment,Bags,Gym Sack,Budget,47604,4284360,78,90
113,July,India,Footwear,Running,Air Zoom,Budget,12692,2157640,56,170
114,March,Greater China,Equipment,Socks,Crew Socks,Budget,37071,10009170,57,270
115,May,Europe,Footwear,Basketball,KD Series,Premium,15114,3476220,60,230
116,February,Europe,Equipment,Accessories,Hats,Premium,34848,8363520,76,240
117,March,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42072,5890080,80,140
118,December,Greater China,Equipment,Socks,Performance Socks,Premium,5713,628430,82,110
119,December,America,Equipment,Bags,Gym Sack,Mid-Range,45569,11392250,55,250
120,July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,30671,8587880,50,280
121,March,America,Footwear,Basketball,LeBron Series,Mid-Range,44415,3997350,81,90
122,January,Japan,Apparel,Performance,Dri-FIT,Mid-Range,24773,2229570,55,90
123,May,America,Footwear,Running,React Infinity,Mid-Range,26398,3167760,68,120
124,August,India,Footwear,Running,React Infinity,Mid-Range,16191,2428650,83,150
125,October,Southeast Asia,Equipment,Bags,Gym Sack,Budget,18808,4325840,52,230
126,May,India,Equipment,Accessories,Hats,Budget,11893,2497530,71,210
127,October,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,12640,2022400,51,160
128,January,South Korea,Footwear,Football,Mercurial,Mid-Range,24233,2665630,82,110
129,January,Europe,Equipment,Accessories,Bags,Mid-Range,42458,5519540,81,130
130,February,America,Footwear,Cricket,Vapor Cricket,Premium,13064,1437040,83,110
131,May,South Korea,Equipment,Bags,Backpack,Premium,47626,2381300,66,50
132,June,South Korea,Apparel,Tops,Tech Fleece,Budget,39659,3965900,70,100
133,June,Greater China,Apparel,Performance,Dri-FIT,Premium,24222,6782160,51,280
134,December,India,Footwear,Lifestyle,Air Force 1,Mid-Range,28038,1401900,63,50
135,October,Greater China,Footwear,Basketball,Air Jordan,Budget,11147,2117930,56,190
136,January,Europe,Footwear,Football,Mercurial,Budget,40691,2848370,58,70
137,January,South Korea,Footwear,Running,Air Zoom,Budget,38622,8496840,78,220
138,September,Japan,Equipment,Socks,Performance Socks,Budget,41336,9507280,66,230
139,January,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,42094,9681620,73,230
140,July,India,Footwear,Cricket,Vapor Cricket,Mid-Range,41898,12150420,53,290
141,March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,5250,577500,88,110
142,February,America,Apparel,Outerwear,Windrunner,Premium,43953,9669660,81,220
143,July,India,Equipment,Bags,Backpack,Premium,46169,3693520,77,80
144,November,South Korea,Footwear,Lifestyle,Air Max,Premium,10605,848400,87,80
145,July,America,Apparel,Outerwear,Rain Jacket,Mid-Range,11907,833490,75,70
146,June,Europe,Apparel,Outerwear,Windrunner,Mid-Range,15114,2267100,73,150
147,June,South Korea,Equipment,Bags,Backpack,Budget,11346,2269200,64,200
148,May,America,Equipment,Bags,Gym Sack,Budget,39458,2367480,65,60
223,July,America,Equipment,Bags,Backpack,Budget,8291,663280,66,80
149,December,Europe,Footwear,Lifestyle,Air Force 1,Mid-Range,49565,9417350,90,190
150,September,India,Equipment,Bags,Backpack,Mid-Range,31768,2859120,58,90
151,June,America,Equipment,Socks,Performance Socks,Mid-Range,20285,3448450,77,170
152,August,America,Apparel,Tops,Tech Fleece,Premium,25560,4345200,59,170
153,January,South Korea,Equipment,Accessories,Hats,Premium,19197,959850,57,50
154,November,Greater China,Equipment,Accessories,Bags,Premium,42901,9867230,85,230
155,February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,39676,11506040,69,290
156,September,South Korea,Footwear,Cricket,Vapor Cricket,Premium,29252,8190560,61,280
157,June,America,Apparel,Outerwear,Windrunner,Mid-Range,40284,8862480,56,220
158,October,South Korea,Footwear,Basketball,LeBron Series,Mid-Range,27232,1361600,60,50
159,May,Europe,Equipment,Accessories,Hats,Premium,27370,4105500,77,150
160,December,Greater China,Equipment,Accessories,Hats,Premium,44238,3539040,54,80
161,June,America,Apparel,Outerwear,Windrunner,Mid-Range,45591,13221390,69,290
162,September,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,47338,3313660,50,70
163,December,Japan,Footwear,Basketball,KD Series,Premium,27680,8304000,68,300
164,August,South Korea,Footwear,Lifestyle,Air Force 1,Premium,5580,1339200,66,240
165,February,America,Equipment,Accessories,Hats,Premium,48811,5369210,83,110
166,November,Japan,Equipment,Accessories,Bags,Premium,30797,5235490,65,170
167,June,South Korea,Apparel,Outerwear,Windrunner,Budget,26283,3416790,53,130
168,April,South Korea,Apparel,Outerwear,Rain Jacket,Premium,29724,3566880,62,120
169,April,Japan,Footwear,Basketball,Air Jordan,Budget,44272,5312640,54,120
170,February,Japan,Equipment,Accessories,Bags,Premium,6131,1042270,76,170
171,September,Japan,Footwear,Running,React Infinity,Budget,37824,6808320,51,180
172,July,America,Apparel,Performance,Dri-FIT,Budget,16989,5096700,83,300
173,August,Greater China,Apparel,Performance,Dri-FIT,Budget,37151,7058690,70,190
174,December,South Korea,Apparel,Outerwear,Windrunner,Budget,15325,766250,70,50
175,September,Greater China,Equipment,Socks,Crew Socks,Budget,18610,1488800,83,80
176,April,Japan,Equipment,Accessories,Hats,Premium,20585,4117000,55,200
177,January,Greater China,Equipment,Accessories,Bags,Premium,26079,4433430,58,170
178,April,Japan,Apparel,Performance,Dri-FIT,Mid-Range,37618,9028320,59,240
179,December,India,Equipment,Socks,Crew Socks,Budget,13549,2845290,87,210
180,July,Southeast Asia,Equipment,Accessories,Hats,Budget,42383,8052770,90,190
181,January,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,23146,6712340,85,290
182,May,Greater China,Footwear,Cricket,Vapor Cricket,Budget,8911,891100,60,100
183,February,Greater China,Footwear,Lifestyle,Blazer,Budget,46488,13481520,65,290
184,June,Greater China,Footwear,Cricket,Vapor Cricket,Premium,26073,6778980,89,260
185,July,Southeast Asia,Footwear,Running,Pegasus,Premium,40904,10226000,87,250
186,January,Greater China,Equipment,Bags,Backpack,Premium,10167,2033400,69,200
187,December,Greater China,Apparel,Outerwear,Rain Jacket,Budget,33222,3654420,56,110
188,July,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,9495,854550,79,90
189,March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,16995,2549250,78,150
190,May,Japan,Apparel,Performance,Compression Wear,Mid-Range,14474,3039540,71,210
191,January,Japan,Apparel,Tops,Tech Fleece,Mid-Range,47176,2830560,83,60
192,January,Europe,Equipment,Accessories,Bags,Mid-Range,21835,6550500,88,300
193,October,Europe,Apparel,Outerwear,Rain Jacket,Mid-Range,12825,1410750,78,110
194,October,Greater China,Footwear,Football,Mercurial,Mid-Range,21269,6168010,75,290
195,February,Greater China,Footwear,Football,Mercurial,Budget,20301,3654180,50,180
196,August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,19216,1921600,54,100
197,May,Europe,Equipment,Bags,Gym Sack,Mid-Range,18456,2214720,82,120
198,December,Greater China,Footwear,Basketball,KD Series,Premium,34245,9931050,65,290
199,November,Greater China,Equipment,Socks,Crew Socks,Premium,30282,3633840,70,120
200,July,Greater China,Footwear,Running,Air Zoom,Premium,28660,2006200,80,70
201,May,Greater China,Apparel,Tops,Tech Fleece,Budget,6123,1775670,55,290
202,November,Europe,Equipment,Accessories,Bags,Premium,35528,5684480,68,160
203,May,India,Footwear,Basketball,LeBron Series,Mid-Range,45334,4080060,51,90
204,June,Japan,Apparel,Outerwear,Windrunner,Budget,22636,5885360,68,260
205,November,South Korea,Footwear,Lifestyle,Blazer,Budget,11440,2288000,88,200
206,December,India,Equipment,Bags,Backpack,Budget,24771,5697330,59,230
207,January,Greater China,Apparel,Tops,Tech Fleece,Premium,31290,1564500,87,50
208,September,Europe,Equipment,Bags,Backpack,Premium,30892,1544600,65,50
209,February,America,Footwear,Lifestyle,Air Max,Budget,6954,904020,74,130
210,November,Europe,Footwear,Cricket,Vapor Cricket,Budget,19555,977750,90,50
211,July,India,Footwear,Running,Air Zoom,Mid-Range,23503,4700600,76,200
212,May,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,28850,1731000,87,60
213,January,Southeast Asia,Footwear,Football,Mercurial,Premium,32663,5226080,79,160
214,February,America,Footwear,Cricket,Vapor Cricket,Mid-Range,49549,14864700,75,300
215,June,America,Equipment,Socks,Crew Socks,Premium,45139,3159730,72,70
216,February,Europe,Footwear,Football,Phantom Vision,Budget,31673,2850570,74,90
217,October,Greater China,Equipment,Socks,Crew Socks,Premium,24125,1206250,69,50
218,September,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,26971,6203330,64,230
219,May,Greater China,Equipment,Accessories,Hats,Budget,42633,5968620,52,140
220,January,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,23653,5203660,89,220
221,June,South Korea,Apparel,Tops,Tech Fleece,Budget,32581,2280670,69,70
222,January,South Korea,Apparel,Performance,Compression Wear,Premium,44343,7538310,75,170
224,March,India,Footwear,Lifestyle,Air Max,Budget,24788,3718200,61,150
225,April,Greater China,Equipment,Accessories,Hats,Budget,41062,2874340,66,70
226,November,India,Equipment,Accessories,Hats,Budget,48229,13504120,62,280
227,October,Japan,Apparel,Performance,Compression Wear,Budget,25828,2582800,60,100
228,May,Greater China,Footwear,Running,Pegasus,Premium,47580,5709600,78,120
229,December,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,48540,10193400,63,210
230,January,Greater China,Footwear,Lifestyle,Air Max,Budget,37975,2658250,53,70
231,November,Japan,Footwear,Lifestyle,Air Force 1,Budget,24267,5338740,58,220
232,September,Europe,Apparel,Performance,Dri-FIT,Premium,40029,2001450,71,50
233,June,Japan,Footwear,Football,Mercurial,Mid-Range,33407,4342910,70,130
234,September,Greater China,Equipment,Bags,Backpack,Premium,39670,3967000,90,100
235,July,India,Equipment,Accessories,Bags,Budget,8891,2044930,82,230
236,February,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,39076,7424440,67,190
237,July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,23339,7001700,84,300
238,August,India,Equipment,Accessories,Hats,Budget,18192,5093760,74,280
239,December,Japan,Footwear,Football,Phantom Vision,Budget,18898,3968580,55,210
240,January,Europe,Apparel,Tops,Tech Fleece,Budget,6063,1455120,63,240
241,September,South Korea,Apparel,Tops,Tech Fleece,Budget,23137,3239180,54,140
242,May,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,24321,4134570,73,170
243,November,Greater China,Equipment,Bags,Gym Sack,Budget,49992,13997760,64,280
244,June,Japan,Equipment,Accessories,Bags,Mid-Range,40020,4002000,77,100
245,October,South Korea,Footwear,Football,Mercurial,Mid-Range,30270,1513500,85,50
246,September,America,Apparel,Performance,Compression Wear,Budget,20663,3719340,76,180
247,December,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,46062,9212400,75,200
248,May,India,Apparel,Tops,Therma-FIT,Mid-Range,28564,8283560,61,290
249,March,South Korea,Footwear,Lifestyle,Air Max,Budget,42786,9840780,79,230
